recipe_id,slot_count,core,recipe,name,combat_role,attack_pattern,synergy_logic,rule_mutation,status_tags,terrain_tags,resonance_tags,node_preset_id,graph_template_id,notes
10001,2,Fire,FI-FI,烈阳长枪,单路消耗,直线穿透,无,无,burn,scorch,row_focus,Preset_ImpactLane,Template_SolarLance,火核心标准单路输出
10002,2,Fire,FI-GL,蒸汽烙印,起手挂状态,高速投射,无,无,burn|chill,steam,row_focus,Preset_ImpactLane,Template_SteamBrand,同时附加灼烧与寒蚀标记
10003,2,Fire,FI-FU,弧焰火种,混合清线,命中弹跳,无,无,burn|conductive,scorch,row_chain,Preset_ConductiveChain,Template_ArcEmber,适合处理中量杂兵
10004,2,Fire,FI-AC,爆裂铆钉,精英斩杀,重型炮弹,无,无,burn|mark,scorch,row_focus,Preset_CritBranch,Template_DetonatorNail,配合暴击和引爆收益高
11001,3,Fire,FI-FI-GL,灼雾,持续伤害引擎,直线穿透,灼烧持续翻倍,无,burn|chill,steam,row_focus,Preset_StatusAmplify,Template_SearingMist,对高血量单位表现稳定
11002,3,Fire,FI-FI-FU,链燃,清杂爆发,命中弹跳,燃烧目标触发额外跳跃,无,burn|conductive,scorch,row_chain,Preset_ConductiveChain,Template_ChainIgnition,越密集越强
11003,3,Fire,FI-FI-AC,炽核爆裂,处决爆发,重型炮弹,暴击时立即引爆,无,burn|mark,scorch,row_focus,Preset_CritBranch,Template_KindledRupture,适合收残血精英
11004,3,Fire,FI-GL-FU,热暴风,地表联动,命中弹跳,冰面上链路范围增加,无,burn|chill|conductive,steam,row_resonance,Preset_RowResonance,Template_ThermalStorm,依赖冰面铺场
11005,3,Fire,FI-GL-AC,碎锻,破控收割,高速投射,对减速目标必暴击,无,burn|chill|mark,steam,row_focus,Preset_CritBranch,Template_ShatterForge,适合中后排爆发塔
12001,4,Fire,FI-FI-GL-FU,元素坍缩,终极清场,全行爆破,状态融合,整行清洗,burn|chill|conductive,scorch|steam,row_resonance,Preset_ElementCollapse,Template_ElementCollapse,火核心四槽主奥义
12002,4,Fire,FI-FI-GL-AC,岩浆裁断,终极处决,处决炮弹,燃烧阈值斩杀,整行处决,burn|mark,scorch,row_focus,Preset_ExecuteUltimate,Template_MagmaVerdict,对残血高威胁怪很强
12003,4,Fire,FI-FI-FU-AC,日冕蓄电,终极连爆,引爆连锁,同行返还能量,连环爆裂,burn|conductive|mark,scorch,row_chain,Preset_ChainUltimate,Template_CoronaBattery,适合高频爆炸构筑
12004,4,Fire,FI-GL-FU-AC,熔炉灾变,终极改地,地表爆破,熔炉地带转化,地形接管,burn|chill|conductive|mark,scorch|ice,row_resonance,Preset_TerrainUltimate,Template_FoundryCatastrophe,把地表变成输出核心
20001,2,Ice,GL-FI,熔霜射线,反前排,持续光束,无,无,burn|chill,steam,row_focus,Preset_BeamLane,Template_CinderRay,兼具熔解与压血
20002,2,Ice,GL-GL,霜冻射线,主控制,减速光束,无,无,chill,ice,row_focus,Preset_BeamLane,Template_FrostRay,冰核心基础控制形态
20003,2,Ice,GL-FU,极弧霜流,扩散控制,分叉射线,无,无,chill|conductive,ice,row_chain,Preset_ConductiveChain,Template_PolarArc,适合多单位压制
20004,2,Ice,GL-AC,晶刺爆发,近距拦截,晶刺爆裂,无,无,chill|mark,ice,row_focus,Preset_ImpactLane,Template_CrystalSpike,防止近身突破
21001,3,Ice,GL-GL-FI,冷脉骤停,冻结爆发,减速光束,消耗燃烧触发冻结,无,burn|freeze,ice,row_focus,Preset_ReactionBurst,Template_ColdSnap,适合针对挂火敌人
21002,3,Ice,GL-GL-FU,极域网络,扩散压制,分叉射线,导电目标横向扩散,无,chill|conductive,ice,row_chain,Preset_RowResonance,Template_PolarNetwork,与雷塔组合价值高
21003,3,Ice,GL-GL-AC,脆晶外壳,暴击辅助,减速光束,附加脆化易伤,无,chill|mark,ice,row_focus,Preset_StatusAmplify,Template_BrittleShell,是金系收割前置
21004,3,Ice,GL-FI-FU,蒸压震荡,地表组合,熔解光束,死亡后生成蒸汽区,无,burn|chill|conductive,steam,row_resonance,Preset_TerrainUltimate,Template_SteamShock,强调混合地表收益
21005,3,Ice,GL-FI-AC,晶狱裁决,混合处决,晶刺爆裂,火冰双标记处决,无,burn|chill|mark,ice,row_focus,Preset_ExecuteUltimate,Template_CrystalVerdict,用于处理高威胁精英
22001,4,Ice,GL-GL-FI-FU,白夜寒潮,终极控场,整路冻结,后续雷击全图分叉,整路锁场,chill|freeze|conductive,ice,row_resonance,Preset_ElementCollapse,Template_WhiteoutSurge,冰核心全场控制奥义
22002,4,Ice,GL-GL-FI-AC,晶廷裁决,终极暴击,脆化射线,连锁暴击判定,整路审判,chill|mark,ice,row_focus,Preset_CritBranch,Template_CrystalTribunal,收割链条很强
22003,4,Ice,GL-GL-FU-AC,棱镜冰墙,终极布阵,墙体投射,反射型元素墙,跨路屏障,chill|conductive|mark,ice,column_resonance,Preset_RowResonance,Template_PrismWall,体现 PvZ 式空间压制
22004,4,Ice,GL-FI-FU-AC,零度崩解,终极爆发,状态压缩,转化为真实伤害,状态坍缩,burn|chill|conductive|mark,steam|ice,row_focus,Preset_ReactionBurst,Template_ZeroKelvinBreak,爆发极高但依赖准备
30001,2,Thunder,FU-FI,等离火种,波次压血,链式火花,无,无,burn|conductive,scorch,row_chain,Preset_ConductiveChain,Template_PlasmaSeed,适合开局清小怪
30002,2,Thunder,FU-GL,冰雹电流,人海控制,弹射电流,无,无,chill|conductive,ice,row_chain,Preset_ConductiveChain,Template_HailCurrent,附带减速脉冲
30003,2,Thunder,FU-FU,风暴继电,群怪清理,长距离雷链,无,无,conductive,ice,row_chain,Preset_ConductiveChain,Template_StormRelay,雷核心基础清场技能
30004,2,Thunder,FU-AC,轨电放逐,狙杀爆发,充能电矢,无,无,conductive|mark,metal,row_focus,Preset_CritBranch,Template_RailDischarge,前几发爆发很高
31001,3,Thunder,FU-FU-FI,雷炉,群体爆发,长距离雷链,燃烧目标附带爆炸,无,burn|conductive,scorch,row_chain,Preset_ChainUltimate,Template_ThunderFurnace,适合火雷双线
31002,3,Thunder,FU-FU-GL,绝对电流,群清增强,长距离雷链,冰缓目标增加跳数,无,chill|conductive,ice,row_chain,Preset_ConductiveChain,Template_AbsoluteCurrent,多目标收益明显
31003,3,Thunder,FU-FU-AC,充能破袭,精英爆发,长距离雷链,最后一跳必暴击,无,conductive|mark,metal,row_focus,Preset_CritBranch,Template_ChargedBreak,适合处理后排精英
31004,3,Thunder,FU-FI-GL,暴云雾场,同行控制,弹射电流,同行触发脉冲,无,burn|chill|conductive,steam,row_resonance,Preset_RowResonance,Template_TempestFog,适合构建成体系阵线
31005,3,Thunder,FU-GL-AC,静电牢笼,压制控制,充能电矢,对减速目标暴击并眩晕,无,chill|conductive|mark,ice,row_focus,Preset_ReactionBurst,Template_StaticPrison,用于压制精英推进
32001,4,Thunder,FU-FU-FI-GL,超胞回廊,终极清线,全图雷链,冻结电痕持续扩散,多路过载,burn|chill|conductive,scorch|ice,row_resonance,Preset_ElementCollapse,Template_SupercellCorridor,雷核心顶级清场技
32002,4,Thunder,FU-FU-FI-AC,裂穹标记,终极爆发,充能电矢,周期性轨道暴击,Boss 破防,burn|conductive|mark,scorch,row_focus,Preset_ChainUltimate,Template_SkybreakerMark,强针对大体型目标
32003,4,Thunder,FU-FU-GL-AC,风暴囚笼,终极禁锢,链接力场,共享暴击伤害,联动处刑,chill|conductive|mark,ice,row_resonance,Preset_RowResonance,Template_TempestCage,强阵型配合型
32004,4,Thunder,FU-FI-GL-AC,离子壁垒,终极防线,墙体雷链,生成持续雷墙,阵线壁垒,burn|chill|conductive|mark,ice|metal,column_resonance,Preset_RowResonance,Template_IonicBastion,强调上下行联动
40001,2,Metal,AC-FI,爆燃矛桩,收割陷阱,地刺陷阱,无,无,burn|mark,scorch,row_focus,Preset_TrapExecute,Template_BlastPike,适合前格封锁
40002,2,Metal,AC-GL,永霜地雷,路口拦截,爆裂地雷,无,无,chill|mark,ice,row_focus,Preset_TrapExecute,Template_PermafrostMine,路口和拐点很强
40003,2,Metal,AC-FU,导电脊枪,混合清线,重型投枪,无,无,conductive|mark,metal,row_chain,Preset_CritBranch,Template_ConductiveJavelin,对导电目标有额外收益
40004,2,Metal,AC-AC,断首钉桩,Boss 杀手,处决地刺,无,无,mark,metal,row_focus,Preset_TrapExecute,Template_GuillotineStake,高单点极限输出
41001,3,Metal,AC-AC-FI,处刑爆破,斩杀爆发,处决地刺,暴击后产生爆炸,无,burn|mark,scorch,row_focus,Preset_ExecuteUltimate,Template_ExecutionBlast,适合补尾刀
41002,3,Metal,AC-AC-GL,破冰裁断,破控收割,处决地刺,消耗冰缓放出晶波,无,chill|mark,ice,row_focus,Preset_ReactionBurst,Template_Icebreaker,专克控制后残血目标
41003,3,Metal,AC-AC-FU,轨雷级联,链式爆发,重型投枪,暴击触发雷链反弹,无,conductive|mark,metal,row_chain,Preset_ChainUltimate,Template_RailCascade,金雷混合核心输出
41004,3,Metal,AC-FI-GL,淬火合金,地表增幅,爆裂地雷,根据地表提升攻速,无,burn|chill|mark,scorch|ice,row_focus,Preset_TerrainUltimate,Template_TemperedAlloy,适合围绕地表构筑
41005,3,Metal,AC-FI-FU,超频穿枪,支援输出,重型投枪,同行火雷友塔时穿透,无,burn|conductive|mark,scorch|metal,row_resonance,Preset_RowResonance,Template_OverclockSpear,依赖同行组合
42001,4,Metal,AC-AC-FI-GL,灾厄桩阵,终极布阵,整排布桩,占据格布置爆裂晶桩,整行处刑,burn|chill|mark,scorch|ice,row_focus,Preset_ElementCollapse,Template_CataclysmStake,非常符合格子塔防结构
42002,4,Metal,AC-AC-FI-FU,雷断头台,终极收割,处决地刺,击杀后继续跃迁,处决连锁,burn|conductive|mark,metal|scorch,row_chain,Preset_ChainUltimate,Template_ThunderGuillotine,清精英与收尾能力极强
42003,4,Metal,AC-AC-GL-FU,绝对兵装,终极陷阱网,陷阱网络,暴击陷阱继承冰雷反应,兵装形态,chill|conductive|mark,ice|metal,row_resonance,Preset_RowResonance,Template_AbsoluteArsenal,适合偏阵地流玩法
42004,4,Metal,AC-FI-GL-FU,共振壁垒,终极防线,反射墙体,相邻行生成元素壁垒,阵线锁定,burn|chill|conductive|mark,scorch|ice|metal,column_resonance,Preset_RowResonance,Template_ResonantBulwark,强调横向布阵与防守节奏
